url,website,ashx,"zip, xls",gdb,dxf,ogc wfs,xlxs,xlsx,jpeg 2000,xlsb,pdf,docx,zip,.xlsx,sps,html,svg,bin,dwg,geotiff,asp,kml,mif,xls,json,tab,extended tab,wfs,esri rest,tiff,api,arcgis geoservices rest api,wms,ecw,doc,rss,csv,geojson,json/protobuf,data tool,xslx,shp,jpeg,xml,video,png,eligible_url,file_downloaded,json_created
https://discover.data.vic.gov.au/dataset/weather-together-temperature-and-humidity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/micro-climate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/argyle-square-weather-stations-historical-data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/microclimate-sensors-data,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/building-permits,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/parking-meters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/early-learning-centres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/ballarat-footpaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/roads-register,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/litter-traps-copy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/planning-permit-application-register,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/register-of-building-permit-applications-city-of-casey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/animal-registrations-in-city-of-casey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/iot-devices-reference-list,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/tree-hollows-community-reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/wi-fi-enabled-device-counts-from-nov-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/fcc-advertised-planning-application-register,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/animals-customer-requests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,True
https://discover.data.vic.gov.au/dataset/animals-customer-requests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,True
