url,fileTypes
https://discover.data.vic.gov.au/dataset/eastern-treatment-plant-supernatant-main,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/water-supply-service-reservoirs-local-system-storage,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/hws2018-habitat-suitability-modelling-results-for-macroinvertebrates,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/land-owned-by-melbourne-water,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/catchments-major-river-basins-melbourne,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/catchments-primary-catchments-of-melbournes-river-basins,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/water-supply-main-pipelines-other-authority,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/wastewater-outlet-hourly-flow-eastern-treatment-plant-etp,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/wastewater-inlet-daily-raw-water-quality-eastern-treatment-plant-etp,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/wastewater-inlet-hourly-flow-eastern-treatment-plant-etp,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/wastewater-outlet-daily-treated-water-quality-eastern-treatment-plant-etp,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/water-supply-storage-dams-major-system-storage,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/hws2018-habitat-suitability-modelling-results-for-platypus,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/water-supply-daily-rainfall-at-the-4-major-harvesting-storage-dams,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/melbourne-wastewater-daily-volume-received-by-melbourne-water,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/water-supply-daily-streamflow-into-melbournes-4-major-harvesting-storage-dams,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/water-supply-daily-volume-drawn-from-storage-dams-operated-by-melbourne-water,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/recycled-water-annual-volumes-supplied-by-melbourne-water,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/catchments-waterways-and-drains-subcatchments,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/melbourne-drain-and-waterway-outlets,html; arcgis geoservices rest api; csv; geojson; zip; kml
